Docket No. ( P-Code),ENG Model,T/M Model,Date of Booking,Carrying company,Invoice No. of shipping from dealer,Dealer Code,Material description,VIN No.,PQR No.,Claim No.,Safety issue,Material/Parts No.,Damage code,Distributor name (Overseas),"ENG, TM #",Mileage/Time,Date of claim,Failure description of Dealer,Failure description of MFTBC,Group in charge for investigation,Failure/Damage description in English,Model,WPI Claim No.,Q issue ID,Q issue status,PQR Importance level,Build date,Sold date,Failure date,Position code,Current status
PF24010761,4P10FA4F2326,M038S5B012,,日本通運,西多摩20240207,A0003508HM,INJECTOR ASSY,FBA600585211,240101874A,,No,QC000353R,="73",NA,E63231/Z0N50068,="39120",="20240131",21TB 小ト エンジンランプ点灯No3インジェクター不良の件,,,,LIGHT DUTY TRUCK,,,,,="20210121",="20210227",="20240110",="07093",Originator Submitted
PF24020010,4P10RA6F3322,M038S6A603,,日本通運,240207神ふ港北,A00037030F,HEADLAMP LED RH,FEB900590429,240101717A,,No,ML352450,="92",NA,E94612/Z0N82273,="93927",="20240130",21年 FEB90 右フロントフラッシャーランプ不灯の件,,,,LIGHT DUTY TRUCK,,,,,="20210630",="20210830",="20210831",8210C,Originator Submitted
PF24020012,4P10RA4F2463,M038S5B011,,日本通運,240207神ふ港北,A00037030F,HEADLAMP LED RH,FEAV00600151,240101752A,,No,ML352450,="92",NA,F50631/Z0P49953,="50812",="20240130",21年 FEAV0 右フロントフラッシャーランプ不灯の件,,,,LIGHT DUTY TRUCK,,,,,="20220628",="20220929",="20240124",8210C,Originator Submitted
PF24020014,4P10RA2F1222,M038S5B011,,日本通運,240207神ふ港北,A00037030F,HEADLAMP LED LH,FBA200591993,240101743A,,No,ML352449,="92",NA,F23185/Z0P16322,="42185",="20240130",21年 FBA20 左フロントフラッシャーランプ不灯の件,,,,LIGHT DUTY TRUCK,,,,,="20220304",="20220929",="20240130",8210C,Originator Submitted
PF24020145,6R10,M120S6F815,,エスライン,72-6739-7060,A0005204MI,TS FILTER INSERT,MS96VP0070586,240200286A,,No,MX938991,="06",NA,041823/K310043,="1540208",="20240205",大型バス 換装エンジン サプライ不良,,,,HEAVY DUTY BUS,,,,,="20150701",="20150708",="20230818",="07206",Submitted
PF24020147,6R10,M120S6F815,,エスライン,72-6739-7060,A0005204MI,SEALING FLANGE / HD-PUMPE,MS96VP0070586,240200286A,,No,MX902736,="06",NA,041823/K310043,="1540208",="20240205",大型バス 換装エンジン サプライ不良,,,,HEAVY DUTY BUS,,,,,="20150701",="20150708",="20230818",="07206",Submitted
PF24020174,NA,E041C1A001,,佐川急便,1967-0250-3546,A0003203DA,"BATTERY, 80AH-720A (EN)",FEAVK0610067,240200389A,,No,ML235532,="73",NA,NA,="2969",="20240206",FEAVK 起動用メーンバッテリー上がりによるEV起動不能不具合(13台目),,,,LIGHT DUTY TRUCK,,,,,="20230619",="20231127",="20240206",="54001",Originator Submitted
PF24020175,NA,E041C1A001,,佐川急便,1967-0250-3546,A0003203DA,"BATTERY, 60AH-550A (EN)",FEAVK0610067,240200389A,,No,ML235533,="73",NA,NA,="2969",="20240206",FEAVK 起動用メーンバッテリー上がりによるEV起動不能不具合(13台目),,,,LIGHT DUTY TRUCK,,,,,="20230619",="20231127",="20240206",="54001",Originator Submitted
PF24020182,6M60BA5F0340,M050S6F267,,日本通運,240207戸塚,A00037030P,CONTROL UNIT EXHAUST AFTERTREA,FK65F0610814,240101726A,,No,MX942541,4A,NA,297910/K0417503,="34132",="20240130",23年 FK65F SCRランフ゜点灯の件,,,,MEDIUM DUTY TRUCK,,,,,="20230306",="20230727",="20240130",5387L,Originator Submitted
PF24020191,4V200A3F0201,M050S6B457,,佐川急便,1959-0551-6693,A0002508CB,"GAUGE UNIT,FUEL",FK72N0605279,240200406A,,No,ML233892,="50",NA,A00728/K0390225,="36868",="20240207",FK72N 燃料ゲージに誤差,,,,MEDIUM DUTY TRUCK,,,,,="20200623",="20200817",="20240205",="47006",Submitted
PF24020154,6R200A2F2231,G211CBA921,,福山通運,308-3230-4510,A0007306SG,FLYWHEEL,FU74HZ0545650,240101610A,,No,MX906748,AD,NA,052892/A0D20738,="5876",="20240129",クランクシャフトリヤシールよりオイル漏れ,,,,HEAVY DUTY TRUCK,,,,,="20231019",="20231222",="20240119",="03011",Originator Submitted
PF24010573,6M606A2F6701,M070S6C067,,日本通運,20240131秋田,A0003509PT,"FILTER ASSY,FUEL",FK62FZ0730028,240101066A,HF202401240238A,No,ME306304,="04",NA,139417/T0346181,="315661",="20240123",09FK62FZ 燃料漏れ(燃料フィルタAssy交換),,,,MEDIUM DUTY TRUCK,,,,,="20090706",="20090804",="20231220",="09201",Submitted to QM
PF24010574,6R200A2F2281,G230CBA925,,日本通運,20240131秋田,A0003509PT,SOLENOID VALVE COOLING-WATER,FS74HZ0545415,240101073A,HF202401240240A,No,MX001313,RE,NA,044966/A0D14699,="63127",="20240123",23FS74HZ SCRランプ点灯(尿素水ヒーターマグネットバルブ交換),"6R200A2F2281,220 HEAVY DUTY TRUCK,53878,RE-ショート・絶縁不良による作動不良",,,HEAVY DUTY TRUCK,,,,,="20230413",="20230623",="20231221",="53878",Transferred by CFT
PF24010694,6M60,M100A6A021,,Others,="240131",A0002508BA,CYLINDER HEAD ASSY,MP38FK0070384,240101168A,,No,ME760152,="53",NA,273696/1729411,="112556",="20240124",MP38FK エアコンプレッサーオイル上がり エアーコンプレッサヘッド交換,,,,HEAVY DUTY BUS,,,,,="20210301",="20210325",="20240109",="13018",Originator Submitted
PF24010569,6R200A2F2221,G211CBA922,,日本通運,20240131米沢,A0003509PP,"BUMPER ASSY,FRONT",FV74HZ0530031,240101258A,,No,ML272462,="47",NA,032908/A0C97431,="127685",="20240125",'21 FV74HZ メッキバンパー浮き上がり,,,,HEAVY DUTY TRUCK,,,,,="20210609",="20210930",="20230919",="88101",Originator Submitted
